subject_id,trial,response,rt,responseConf,rtConf,correct,contrast
1,1,1,0.879277731126422,3.1,7.40056946306504,1,16
1,2,2,0.954786849994889,6,3.32558765015892,1,16
1,3,2,1.07814051591868,6,2.47730291725748,1,16
1,4,1,1.00845845301228,6,2.92514411090633,1,15
1,5,1,0.713980143730623,6,2.66551419004008,1,14
1,6,1,0.848804852994363,6,2.57182379426285,1,13
1,7,2,0.799770531227296,6,1.74742215478909,1,12
1,8,2,0.734853384305097,6,1.62965704239105,1,11
1,9,2,1.30664809290374,4.8,1.74735542885628,1,10
1,10,2,0.66618589776499,6,1.6295899742745,1,9
1,11,2,1.10606548996384,5,1.9593834113175,1,8
1,12,2,1.04729602566658,4.6,1.27629942766271,1,7
1,13,1,1.38645162438297,4.3,2.10068635321204,1,6
1,14,2,1.6395105806796,3.5,2.05359563810816,1,5
1,15,1,1.02390567758994,3.5,0.875862047726514,0,4
1,16,1,2.54320863454086,3.9,1.88869087825697,0,6
1,17,1,0.993996376952964,3.5,0.958312032362301,1,8
1,18,1,0.869040604270594,3.5,0.546104882216241,1,8
1,19,2,1.36310199623495,4.5,1.01717730825476,1,7
1,20,2,1.32271432882953,3.5,1.9593704083145,1,6
1,21,1,2.39886127918089,2.8,3.20777257885857,0,5
1,22,1,1.04509201677229,3.5,0.828744984433797,1,7
1,23,1,1.16368316200169,4.3,1.46473483114187,1,7
1,24,1,0.984005280588462,4,1.41763658798482,1,6
1,25,1,0.920367902841463,5,3.30203236926354,1,5
1,1,1,1.50327367692717,6,6.13992085962218,1,6
1,2,1,0.771125601474523,4.9,1.84164943768883,1,6
1,3,1,0.919181207787005,3.5,1.04076099044596,1,6
1,4,2,1.17904141866893,6,2.61891450936582,1,5
1,5,2,0.677647702129434,6,1.44106218104116,1,4
1,6,1,0.741534190025959,6,1.41766225180527,0,3
1,7,2,1.257110760258,3.5,0.451862543209245,0,5
1,8,1,1.47602930739868,3.5,0.993605260330696,1,7
1,9,2,1.35389073782426,4.2,1.29984067900295,1,7
1,10,1,1.04653603439874,3.5,0.711015801385656,1,6
1,11,1,1.21544674552024,4.2,1.46472114377138,1,5
1,12,2,0.833581759115077,4.7,1.74742420789516,1,4
1,13,1,1.52442032273484,4.3,1.18204545438948,1,3
1,14,2,0.991390985907856,2.6,3.79667342138418,1,2
1,15,2,1.76535979649634,2.6,0.922994509311138,0,1
1,16,1,1.39935128705838,3,2.38336751754196,0,3
1,17,2,0.833832238001378,4,1.18208925397721,0,5
1,18,2,0.670671591383325,4.1,0.969979831658748,1,7
1,19,2,1.13013473163483,4.2,1.72382991799259,1,7
1,20,2,1.03854397854957,4.1,0.875866838306138,1,6
1,21,2,1.18973193968486,4,0.899404325619798,0,5
1,22,1,1.04743700558629,3.5,1.27630113858413,0,7
1,23,2,1.21513227817377,3.5,0.428307946682253,1,9
1,24,2,1.52955787739029,3.9,0.828730954878665,0,9
1,25,2,1.05309741780911,3.5,0.404767379710393,1,11
1,1,1,1.44712568633622,2.9,1.93578398864975,1,11
1,2,2,0.678149344272242,4.2,1.34686158851491,1,11
1,3,2,1.08063367052182,4.7,1.32338466781766,1,11
1,4,1,0.933311022919042,4.9,3.11357403943748,1,10
1,5,2,1.0001830685851,6,1.7709500609426,1,9
1,6,2,1.13214130020424,6,1.62962453488581,1,8
1,7,2,0.947070936852469,6,1.48829250732797,0,7
1,8,1,0.655890599582563,6,3.49039933588847,1,9
1,9,2,0.770191096227791,4.8,1.39410491780382,1,9
1,10,2,0.714922861399828,4.5,1.34698682795897,0,8
1,11,2,0.572463678849999,4.9,1.29980303873253,1,10
1,12,2,0.505797285931294,4.4,1.01716190996376,1,10
1,13,1,0.853510913282662,4.8,1.77096203739256,1,9
1,14,2,0.650044381300177,6,1.2529929147322,1,8
1,15,1,1.05883174183418,6,1.37050481076949,1,7
1,16,2,0.663263986268248,5.3,1.27617042419206,0,6
1,17,1,0.667591932937285,5.1,0.875737150467103,1,8
1,18,2,0.641249218963821,3.5,1.27626418268301,0,8
1,19,2,1.43856765770124,4.8,0.923044468215267,0,10
1,20,2,0.707442713220189,6,1.20567704237783,1,12
1,21,1,1.10982404200422,6,1.27630421824233,1,12
1,22,2,0.689201211879663,6,1.84144823333645,1,11
1,23,2,1.00848959178165,3.5,0.970062298068115,0,10
1,24,2,0.624741565328804,3.5,0.522511276682962,1,12
1,25,2,0.991015267577495,6,1.67673954507336,1,12
1,1,1,0.827303704281803,6,2.45403815080863,1,12
1,2,1,0.744711370988625,4.5,0.946525495123751,1,12
1,3,2,0.747481352667819,5.7,1.65318597509849,1,12
1,4,1,0.727814311651855,5.9,1.13499922324172,1,11
1,5,1,0.738307392343813,3.5,0.640341404091487,1,10
1,6,2,0.899282508019496,4.9,1.44118673611592,1,9
1,7,2,1.78203375168778,3.5,0.663849805741847,0,8
1,8,2,1.38037032550619,6,1.58252800265018,1,10
1,9,1,1.20297652410591,5.3,1.29983588842242,1,10
1,10,1,0.585288060985476,5.2,1.11136181812162,1,9
1,11,1,0.654931114883766,5.6,1.81793196144827,1,8
1,12,1,0.601856965606203,5.2,1.08782227770189,1,7
1,13,1,0.626809727066757,3.5,0.028161081192593,1,6
1,14,1,0.855901070421169,5.1,1.22922411085074,1,5
1,15,2,0.494416237054793,2.6,1.15843473964196,0,4
1,16,1,0.677188148652931,5.2,1.15841865698167,1,6
1,17,2,0.563508716459182,2.7,0.970056138751715,1,6
1,18,1,0.726367898735589,4.3,1.3469816951947,0,5
1,19,1,1.0334170316064,4.9,1.20561887105214,1,7
1,20,2,0.614473299702695,3.5,0.593165827288431,1,7
1,21,2,2.6300112031131,4.4,2.64245404978465,1,6
1,22,1,0.784949161682562,4.6,1.44120213440874,0,5
1,23,2,1.02225840250594,6,2.73671349800588,1,7
1,24,1,1.53630027627878,5.7,3.41978482084323,1,7
1,25,2,2.61663385119573,5.5,2.43047294656935,1,6
1,1,1,1.46469103155505,5.4,2.7602345604746,0,6.5
1,2,2,1.36307633241449,4.8,2.6895728239997,1,6.5
1,3,1,0.958549508247415,4.8,1.44118126116791,1,6.5
1,4,1,1.04235693788814,3.5,0.404768406263429,1,5.5
1,5,2,1.6208334787616,4.8,1.11138987723098,1,4.5
1,6,1,0.907774837273791,3.5,1.04075619986634,1,3.5
1,7,1,2.17609452772103,3.5,0.498935464730494,0,2.5
1,8,2,1.24570131008659,6,1.88872543886919,1,4.5
1,9,1,0.706885295041502,5.2,2.54829691466148,1,4.5
1,10,2,1.02430226916022,4.5,1.15854286987178,1,3.5
1,11,2,1.39286621074007,3,1.62961837556941,0,2.5
1,12,1,0.88547879449834,5.1,0.875855888410115,1,4.5
1,13,1,1.23402769365748,3.5,1.46469992834591,1,4.5
1,14,1,2.15562848643003,3.5,1.04076270136648,0,3.5
1,15,1,1.17018808500688,3.5,0.381203886391631,0,5.5
1,16,1,1.08282946699364,3.5,0.0102843482864046,0,7.5
1,17,1,1.58232987795691,3.5,0.49896283947237,1,9.5
1,18,2,0.584614984522887,3.5,0.616731031527706,1,9.5
1,19,2,1.15680970653557,3.5,0.286994397074523,0,8.5
1,20,2,1.0516222614142,3.5,0.334122410263262,0,10.5
1,21,1,1.52857033358214,4.4,1.60604872293425,1,12.5
1,22,2,1.04286987211162,4.6,1.11140322241772,1,12.5
1,23,1,1.03895494185963,3.5,0.286994397074523,1,11.5
1,24,1,1.05833796993011,4.5,1.46474064827453,1,10.5
1,25,1,1.00843073608667,4.2,0.781645030354412,1,9.5
1,1,2,0.57511492258709,4.2,2.14772676722805,1,11
1,2,1,0.568264051284132,3.5,0.946495382907415,0,11
1,3,2,0.602776072560118,5.2,1.62956157297958,1,11
1,4,1,0.770269114243092,4.1,2.03011769085788,1,11
1,5,1,1.00192957710806,4.1,0.899407063094259,1,10
1,6,1,0.93710858396571,4.1,0.875842543223371,1,9
1,7,1,0.730519620503401,4.2,1.22922308429861,1,8
1,8,2,0.707393096500709,4,0.899532986905797,1,7
1,9,2,1.10773466484079,4,0.946525152939103,1,6
1,10,2,0.697237409501213,4.3,0.946406757181649,1,5
1,11,2,0.744026318076976,4.2,0.805239662441636,1,4
1,12,2,0.823338472941032,4.4,0.875883947520379,1,3
1,13,1,0.719314796527215,4.2,0.781678564413596,0,2
1,14,2,0.602569735444376,4.2,0.875843227591758,0,4
1,15,1,0.711776477020976,4.1,0.734559790200365,1,6
1,16,2,1.93711542765141,4.7,1.39404879958329,0,6
1,17,2,0.935833947553874,4.1,1.01718654723118,1,8
1,18,2,0.895546540140458,3.5,0.970105413286547,1,8
1,19,1,1.06192063925482,4.3,0.875858625883666,0,7
1,20,2,0.80162516998007,4.2,1.0172197391048,0,9
1,21,1,0.863261454105668,2.9,1.39406009166487,1,11
1,22,1,1.43281143388231,4.7,1.37049454524004,1,11
1,23,2,1.09648227725029,4.9,1.29983451968565,1,10
1,24,2,0.901162810591813,4.7,1.32342436119325,1,9
1,25,1,0.806242946726343,4.3,0.993640505310395,1,8
1,1,1,0.594189300445578,3.5,1.2526781052029,0,9.5
1,2,2,0.974577761717228,4.7,0.922951736277355,1,9.5
1,3,1,0.901106692371286,4.6,0.922962001805899,1,9.5
1,4,2,0.570511517580599,2.7,1.22915806928722,0,8.5
1,5,2,1.41024369679508,4.3,0.781597466741005,1,10.5
1,6,2,0.879165494685367,3.5,0.828765515489977,1,10.5
1,7,2,1.47357071340684,3.5,0.145663396069722,0,9.5
1,8,1,1.15896820492162,4.2,1.88871722644672,1,11.5
1,9,2,0.884271910572352,6,1.15853363089718,1,11.5
1,10,1,1.14957969505849,6,1.46470506111109,1,10.5
1,11,1,1.46605087185162,6,1.15850796707582,1,9.5
1,12,1,1.55419719805832,6,1.11136250249001,1,8.5
1,13,1,1.32337713976449,6,1.32339732863602,1,7.5
1,14,2,1.06480491048114,6,1.98293321726396,1,6.5
1,15,2,0.752744146766418,6,1.27632646021993,0,5.5
1,16,2,0.738944881642055,6,1.20565274729415,1,7.5
1,17,2,1.21081870324542,6,1.18206838073638,0,7.5
1,18,2,0.78220176416562,6,1.20564487705724,1,9.5
1,19,2,0.650807452226218,6,1.15840804926847,1,9.5
1,20,2,0.937290968183333,6,1.24049155455032,1,8.5
1,21,1,1.10900724814746,6,1.0407223236225,1,7.5
1,22,1,0.937003533395,3.5,0.475465045534293,0,6.5
1,23,1,0.910634471232697,6,1.01721597507822,1,8.5
1,24,2,1.0498463250442,3.5,0.451862543209245,1,8.5
1,25,2,1.60135737656856,3.5,0.59319799260993,0,7.5
1,1,2,2.34958126910624,3.5,1.27626555141978,0,8.5
1,2,1,2.43311255604112,4.1,1.4287808453455,0,8.5
1,3,1,1.11685592878712,3.5,0.498987476739785,1,8.5
1,4,1,1.63839711305991,3.5,0.734508120374812,1,8.5
1,5,2,1.95353069153316,3.5,0.216296046882235,0,7.5
1,6,1,1.24217989174667,4.7,1.51183923361623,1,9.5
1,7,1,1.15656538696567,4.5,0.899402956883023,1,9.5
1,8,1,1.49071106576048,3.5,0.169177957036482,1,8.5
1,9,1,1.43271493791781,4.5,1.06427555141272,1,7.5
1,10,1,0.826639182425424,4.6,0.828771674807285,1,6.5
1,11,1,0.933646021320783,4.9,1.81807978505367,1,5.5
1,12,2,0.972019249918958,4.3,2.05362780343057,1,4.5
1,13,1,0.808295367988649,4.7,1.04077091378986,0,3.5
1,14,2,1.84252200758147,2.7,1.11138885067794,0,5.5
1,15,2,1.18558877252326,5,0.828736087642937,1,7.5
1,16,1,0.799144676194373,4.4,1.34699367164467,1,7.5
1,17,2,1.03823019557149,4.7,1.08787257878976,1,6.5
1,18,1,0.969895312143308,4.6,0.734534468563652,1,5.5
1,19,1,1.14168071333097,4.4,0.875837752642838,1,4.5
1,20,1,2.09864043345169,4.6,0.922957211225366,1,3.5
